area,ticker,bench,d_sharpe,ic90_lo,ic90_hi,distinguibile
USA — S&P 500,CATH,IVV,-0.094,-0.189,-0.007,True
USA — S&P 500,EFIV,IVV,0.002,-0.123,0.105,False
USA — S&P 500,IVE,IVV,-0.089,-0.498,0.292,False
USA — S&P 500,IVW,IVV,-0.089,-0.309,0.13,False
USA — S&P 500,NOBL,IVV,-0.529,-1.174,0.1,False
USA — S&P 500,RPG,IVV,-0.336,-0.728,0.107,False
USA — S&P 500,RPV,IVV,-0.352,-1.001,0.314,False
USA — S&P 500,RSP,IVV,-0.319,-0.705,0.068,False
USA — S&P 500,RSPD,IVV,-0.587,-1.147,-0.007,True
USA — S&P 500,RSPF,IVV,-0.486,-1.098,0.149,False
USA — S&P 500,RSPG,IVV,-0.598,-1.462,0.298,False
USA — S&P 500,RSPH,IVV,-0.69,-1.365,0.041,False
USA — S&P 500,RSPM,IVV,-0.787,-1.418,-0.146,True
USA — S&P 500,RSPN,IVV,-0.168,-0.607,0.323,False
USA — S&P 500,RSPS,IVV,-1.136,-2.204,-0.18,True
USA — S&P 500,RSPT,IVV,-0.099,-0.467,0.282,False
USA — S&P 500,RSPU,IVV,-0.528,-1.34,0.385,False
USA — S&P 500,RWL,IVV,0.056,-0.356,0.44,False
USA — S&P 500,SNPE,IVV,-0.013,-0.137,0.091,False
USA — S&P 500,SPGP,IVV,-0.478,-0.849,-0.074,True
USA — S&P 500,SPHB,IVV,-0.233,-0.572,0.123,False
USA — S&P 500,SPHD,IVV,-0.565,-1.363,0.195,False
USA — S&P 500,SPHQ,IVV,0.115,-0.191,0.407,False
USA — S&P 500,SPLV,IVV,-0.598,-1.373,0.167,False
USA — S&P 500,SPMO,IVV,0.281,-0.183,0.731,False
USA — S&P 500,SPUS,IVV,-0.019,-0.24,0.181,False
USA — S&P 500,SPY,IVV,-0.021,-0.066,0.016,False
USA — S&P 500,SPYD,IVV,-0.548,-1.284,0.127,False
USA — S&P 500,SPYG,IVV,-0.084,-0.305,0.14,False
USA — S&P 500,SPYI,IVV,-0.061,-0.289,0.185,False
USA — S&P 500,SPYM,IVV,0.003,-0.029,0.033,False
USA — S&P 500,SPYV,IVV,-0.078,-0.48,0.314,False
USA — S&P 500,SPYX,IVV,-0.013,-0.09,0.065,False
USA — S&P 500,VOO,IVV,0.005,-0.024,0.036,False
USA — S&P 500,VOOG,IVV,-0.086,-0.307,0.135,False
USA — S&P 500,VOOV,IVV,-0.087,-0.486,0.287,False
USA — S&P 500,XLG,IVV,-0.019,-0.248,0.169,False
Europa,BBEU,VGK,0.019,-0.039,0.076,False
Europa,DBEU,VGK,0.127,-0.109,0.376,False
Europa,DFE,VGK,-0.152,-0.38,0.089,False
Europa,EUFN,VGK,0.086,-0.141,0.316,False
Europa,EZU,VGK,-0.018,-0.123,0.088,False
Europa,FEP,VGK,-0.025,-0.209,0.156,False
Europa,HEDJ,VGK,0.035,-0.2,0.298,False
Europa,HEZU,VGK,0.131,-0.099,0.363,False
Europa,IEUR,VGK,-0.005,-0.05,0.036,False
Europa,IEV,VGK,-0.002,-0.05,0.047,False
Europa,SPEU,VGK,0.009,-0.068,0.078,False
Cina,ASHR,MCHI,0.218,-0.124,0.61,False
Cina,CHIQ,MCHI,0.098,-0.108,0.316,False
Cina,CNYA,MCHI,0.25,-0.133,0.628,False
Cina,CQQQ,MCHI,0.103,-0.137,0.306,False
Cina,CXSE,MCHI,0.082,-0.053,0.211,False
Cina,EMXC,MCHI,0.486,-0.057,1.095,False
Cina,FXI,MCHI,-0.058,-0.183,0.048,False
Cina,GXC,MCHI,0.025,-0.049,0.088,False
Cina,KBA,MCHI,0.398,0.006,0.795,True
Cina,KWEB,MCHI,-0.055,-0.256,0.171,False
Cina,PGJ,MCHI,-0.072,-0.347,0.19,False
Cina,XCEM,MCHI,0.474,-0.082,1.054,False
