ticker,nome,tipo,bench,settore,sost
MMM,3M,stock,^GSPC,Industrials,False
AOS,A. O. Smith,stock,^GSPC,Industrials,False
ABT,Abbott Laboratories,stock,^GSPC,Health Care,False
ABBV,AbbVie,stock,^GSPC,Health Care,False
ACN,Accenture,stock,^GSPC,Information Technology,False
ADBE,Adobe Inc.,stock,^GSPC,Information Technology,False
AMD,Advanced Micro Devices,stock,^GSPC,Information Technology,False
AES,AES Corporation,stock,^GSPC,Utilities,False
AFL,Aflac,stock,^GSPC,Financials,False
A,Agilent Technologies,stock,^GSPC,Health Care,False
APD,Air Products,stock,^GSPC,Materials,False
ABNB,Airbnb,stock,^GSPC,Consumer Discretionary,False
AKAM,Akamai Technologies,stock,^GSPC,Information Technology,False
ALB,Albemarle Corporation,stock,^GSPC,Materials,False
ARE,Alexandria Real Estate Equities,stock,^GSPC,Real Estate,False
ALGN,Align Technology,stock,^GSPC,Health Care,False
ALLE,Allegion,stock,^GSPC,Industrials,False
LNT,Alliant Energy,stock,^GSPC,Utilities,False
ALL,Allstate,stock,^GSPC,Financials,False
GOOGL,Alphabet Inc. (Class A),stock,^GSPC,Communication Services,False
GOOG,Alphabet Inc. (Class C),stock,^GSPC,Communication Services,False
MO,Altria,stock,^GSPC,Consumer Staples,False
AMZN,Amazon,stock,^GSPC,Consumer Discretionary,False
AMCR,Amcor,stock,^GSPC,Materials,False
AEE,Ameren,stock,^GSPC,Utilities,False
AEP,American Electric Power,stock,^GSPC,Utilities,False
AXP,American Express,stock,^GSPC,Financials,False
AIG,American International Group,stock,^GSPC,Financials,False
AMT,American Tower,stock,^GSPC,Real Estate,False
AWK,American Water Works,stock,^GSPC,Utilities,False
AMP,Ameriprise Financial,stock,^GSPC,Financials,False
AME,Ametek,stock,^GSPC,Industrials,False
AMGN,Amgen,stock,^GSPC,Health Care,False
APH,Amphenol,stock,^GSPC,Information Technology,False
ADI,Analog Devices,stock,^GSPC,Information Technology,False
AON,Aon plc,stock,^GSPC,Financials,False
APA,APA Corporation,stock,^GSPC,Energy,False
APO,Apollo Global Management,stock,^GSPC,Financials,False
AAPL,Apple Inc.,stock,^GSPC,Information Technology,False
AMAT,Applied Materials,stock,^GSPC,Information Technology,False
APP,AppLovin,stock,^GSPC,Information Technology,False
APTV,Aptiv,stock,^GSPC,Consumer Discretionary,False
ACGL,Arch Capital Group,stock,^GSPC,Financials,False
ADM,Archer Daniels Midland,stock,^GSPC,Consumer Staples,False
ARES,Ares Management,stock,^GSPC,Financials,False
ANET,Arista Networks,stock,^GSPC,Information Technology,False
AJG,Arthur J. Gallagher & Co.,stock,^GSPC,Financials,False
AIZ,Assurant,stock,^GSPC,Financials,False
T,AT&T,stock,^GSPC,Communication Services,False
ATO,Atmos Energy,stock,^GSPC,Utilities,False
ADSK,Autodesk,stock,^GSPC,Information Technology,False
ADP,Automatic Data Processing,stock,^GSPC,Industrials,False
AZO,AutoZone,stock,^GSPC,Consumer Discretionary,False
AVB,AvalonBay Communities,stock,^GSPC,Real Estate,False
AVY,Avery Dennison,stock,^GSPC,Materials,False
AXON,Axon Enterprise,stock,^GSPC,Industrials,False
BKR,Baker Hughes,stock,^GSPC,Energy,False
BALL,Ball Corporation,stock,^GSPC,Materials,False
BAC,Bank of America,stock,^GSPC,Financials,False
BAX,Baxter International,stock,^GSPC,Health Care,False
BDX,Becton Dickinson,stock,^GSPC,Health Care,False
BRK-B,Berkshire Hathaway,stock,^GSPC,Financials,False
BBY,Best Buy,stock,^GSPC,Consumer Discretionary,False
TECH,Bio-Techne,stock,^GSPC,Health Care,False
BIIB,Biogen,stock,^GSPC,Health Care,False
BLK,BlackRock,stock,^GSPC,Financials,False
BX,Blackstone Inc.,stock,^GSPC,Financials,False
XYZ,"Block, Inc.",stock,^GSPC,Financials,False
BNY,BNY Mellon,stock,^GSPC,Financials,False
BA,Boeing,stock,^GSPC,Industrials,False
BKNG,Booking Holdings,stock,^GSPC,Consumer Discretionary,False
BSX,Boston Scientific,stock,^GSPC,Health Care,False
BMY,Bristol Myers Squibb,stock,^GSPC,Health Care,False
AVGO,Broadcom,stock,^GSPC,Information Technology,False
BR,Broadridge Financial Solutions,stock,^GSPC,Industrials,False
BRO,Brown & Brown,stock,^GSPC,Financials,False
BF-B,Brown–Forman,stock,^GSPC,Consumer Staples,False
BLDR,Builders FirstSource,stock,^GSPC,Industrials,False
BG,Bunge Global,stock,^GSPC,Consumer Staples,False
BXP,"BXP, Inc.",stock,^GSPC,Real Estate,False
CHRW,C.H. Robinson,stock,^GSPC,Industrials,False
CDNS,Cadence Design Systems,stock,^GSPC,Information Technology,False
CPT,Camden Property Trust,stock,^GSPC,Real Estate,False
